subject_key,subject_name,topic_id,topic_name,topic_folder
physics,Physics,phys-t1,Newton's Laws,Newtons_Laws
physics,Physics,phys-t2,Work & Energy,Work_&_Energy
physics,Physics,phys-t3,Electricity,Electricity
math,Mathematics,math-t1,Algebraic Expressions,Algebraic_Expressions
math,Mathematics,math-t2,Geometry: Triangles,Geometry:_Triangles
math,Mathematics,math-t3,Probability,Probability
chemistry,Chemistry,chem-t1,Atomic Structure,Atomic_Structure
chemistry,Chemistry,chem-t2,The Periodic Table,The_Periodic_Table
chemistry,Chemistry,chem-t3,Chemical Bonding,Chemical_Bonding
biology,Biology,bio-t1,Cell Biology,Cell_Biology
biology,Biology,bio-t2,Genetics & DNA,Genetics_&_DNA
biology,Biology,bio-t3,Ecosystems,Ecosystems
